name,cagr,total_return,max_drawdown,sharpe,avg_weight,long_days,short_days,cash_days,rebalance_days,first_return_date,latest_return_date,observations,config
rv_cap80,999.28%,742661.14%,-22.41%,0.52,6.11%,7.72%,4.50%,87.78%,86,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.8, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
rv_cap120,972.52%,677624.48%,-38.86%,0.52,11.41%,14.68%,8.15%,77.17%,146,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 1.2, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
mom10_thr8,947.65%,621003.25%,-33.92%,0.52,11.31%,12.97%,9.65%,77.38%,114,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 10, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
hold10_tp60,1229.64%,1506676.54%,-29.61%,0.52,8.95%,11.25%,6.65%,82.10%,106,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.6, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
production_fixed50,1197.91%,1377238.78%,-26.86%,0.52,8.84%,11.04%,6.65%,82.32%,112,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
hold15_tp40,1197.91%,1377238.78%,-26.86%,0.52,8.84%,11.04%,6.65%,82.32%,112,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 15, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
sma200_mom5_thr8,1182.58%,1317728.05%,-26.86%,0.52,8.47%,10.83%,6.11%,83.07%,106,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 200, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
hold5_tp40,1168.36%,1264225.28%,-26.86%,0.52,8.47%,10.61%,6.32%,83.07%,116,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 5, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
sma100_mom5_thr8,1163.42%,1246013.78%,-28.24%,0.52,9.00%,10.93%,7.07%,81.99%,112,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 100, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
hold10_tp30,1086.27%,985763.41%,-29.72%,0.52,8.74%,11.04%,6.43%,82.53%,116,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.08, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.3, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
mom5_thr5,1074.32%,949335.41%,-36.26%,0.52,11.31%,14.15%,8.47%,77.38%,134,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.05, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
mom5_thr12,1008.11%,765070.35%,-20.65%,0.52,4.98%,6.43%,3.54%,90.03%,80,2022-08-10,2026-04-29,933,"{'long_symbol': 'CONL', 'short_symbol': 'CONI', 'coin_sma': 150, 'momentum_lookback': 5, 'momentum_threshold': 0.12, 'btc_ma': 150, 'coin_rv_cap': 0.9, 'max_hold_days': 10, 'take_profit': 0.4, 'exit_reminder_trading_days': 3, 'position_sizing': 'fixed', 'fixed_weight': 0.5, 'vol_target': 0.5, 'signal_effective_after_trading_days': 1, 'signal_source': 'coin_short_hold_fixed50_eod'}"
